鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西區,房地(土地+建物)+車位,臺中市西區三民路一段50巷1~30號,8.21,住,,,1090222,土地2建物2車位1,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,102.66999999999999,3,2,2,有,有,4860000,47336,坡道機械,0.0,0,,RPQOMLQLLHPFFAB08CA
南區,房地(土地+建物)+車位,臺中市南區復興北路567巷1~30號,20.04,住,,,1090221,土地5建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851004,110.33,3,2,2,有,有,5750000,52116,坡道機械,0.0,0,,RPPNMLOKMHPFFAB67CA
南區,房地(土地+建物)+車位,臺中市南區東興路一段1~30號,6.25,住,,,1081217,土地1建物1車位1,三十一層,三十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950622,140.06,3,2,3,有,有,7720000,55119,坡道機械,4.35,0,,RPQNMLOKMHPFFAB77CA
東區,房地(土地+建物),臺中市東區十甲路391~420號,7.73,住,,,1090217,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830702,91.5,3,2,2,有,有,4000000,43716,,0.0,0,,RPQOMLNKMHPFFAB77CA
東區,房地(土地+建物),臺中市東區進德路31~60號,13.07,住,,,1090208,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870421,70.03,2,2,1,有,有,3600000,51407,,0.0,0,,RPTPMLRKMHPFFAB58CA
西區,房地(土地+建物),臺中市西區三民路一段151~180號,11.89,住,,,1090213,土地3建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0701021,129.79000000000002,2,1,1,有,無,5150000,39679,,0.0,0,,RPWNMLLLMHPFFAB18CA
北屯區,房地(土地+建物),臺中市北屯區和順路601~630號,122.02,住,,,1090224,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050118,251.19,0,0,0,無,無,17800000,70863,,0.0,0,,RPWTMLPLLHPFFBB56CA
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段271~300號,9.74,住,,,1090224,土地1建物1車位1,十五層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,106.95,2,2,2,有,有,8480000,79289,坡道機械,13.62,0,,RPWQNLPLLHPFFBB98CA
北屯區,房地(土地+建物)+車位,臺中市北屯區東山路一段361~390號,17.58,住,,,1090302,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840214,135.8,3,2,2,有,有,6700000,49337,坡道機械,0.0,0,含增建或未登記建物。;,RPPNMLQLLHPFFBB97CA
北區,房地(土地+建物)+車位,臺中市北區梅川西路四段211~240號,15.85,住,,,1090222,土地1建物1車位1,十一層，十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871106,188.76999999999998,4,2,3,有,有,10900000,57742,坡道平面,26.23,0,含增建或未登記建物。;,RPQNMLQLLHPFFBB08CA
北屯區,房地(土地+建物),臺中市北屯區思齊街61~90號,184.98,住,,,1090208,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1080124,394.1,5,3,7,有,無,39500000,100228,,0.0,0,,RPVSNLPLLHPFFBB09CA
北屯區,車位,臺中市北屯區文心路四段271~300號,0.0,,,,1090303,土地0建物0車位1,,,其他,,,,28.42,0,0,0,有,有,1250000,,坡道平面,28.42,1250000,,RPPRNLPLLHPFFBB38CA
北區,房地(土地+建物)+車位,臺中市北區梅川西路四段211~240號,21.82,住,,,1090210,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0790806,214.58999999999997,4,2,2,有,有,7100000,33086,升降平面,0.0,0,含增建或未登記建物。;,RPRPMLOLLHPFFBB18CA
北屯區,房地(土地+建物),臺中市北屯區四平路391~420號,26.58,住,,,1090305,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750522,93.01,3,2,2,有,無,3200000,34405,,0.0,0,,RPQSMLRLLHPFFBB68CA
北區,房地(土地+建物)+車位,臺中市北區興進路181~210號,13.78,住,,,1090223,土地1建物1車位1,二十層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831013,199.06,4,2,2,有,有,11500000,57772,坡道機械,0.0,0,,RPOTMLRLLHPFFBB58CA
北區,房地(土地+建物),臺中市北區五常街361~390號,2.67,商,,,1090213,土地1建物1車位0,六層,十七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971128,28.33,1,1,1,有,有,2700000,95305,,0.0,0,含增建或未登記建物。;,RPRRMLRLLHPFFBB68CA
北屯區,車位,臺中市北屯區松竹路一段871~900號,3.0,商,,,1090216,土地0建物0車位1,,,其他,,,,24.47,0,0,0,有,有,1100000,,坡道平面,24.47,1100000,,RPRNMLLJMHPFFBB57CA
北屯區,房地(土地+建物),臺中市北屯區東光路852巷1~30號,11.25,住,,,1090218,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810918,131.99,3,2,2,有,有,5800000,43943,,0.0,0,,RPOOMLLJMHPFFBB37CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段139巷1~30號,9.94,住,,,1090226,土地3建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840127,61.67,2,2,1,有,有,3600000,58375,坡道機械,0.0,0,,RPXQMLLMLHPFFBB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區和福路181~210號,15.9,商,,,1090111,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070531,156.35000000000002,3,2,2,有,無,10300000,70279,坡道機械,19.04,650000,,RPSPMLLMLHPFFBB08CA
北區,房地(土地+建物),臺中市北區榮華街61~90號,5.0,住,,,1090310,土地1建物1車位0,四層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0771114,30.3,1,0,1,有,無,1500000,49505,,0.0,0,,RPPRMLLJMHPFFBB77CA
北屯區,房地(土地+建物),臺中市北屯區河北路二段91~120號,4.24,其他,,,1090222,土地2建物1車位0,十層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850606,49.08,1,1,1,有,有,2600000,52975,,0.0,0,,RPUNMLQJMHPFFBB38CA
北屯區,房地(土地+建物),臺中市北屯區雷中街31~60號,73.0,商,,,1090208,土地2建物1車位0,全,二層,透天厝,商業用,鋼筋混凝土加強磚造,0620212,117.04,4,2,3,有,無,11000000,93985,,0.0,0,含增建或未登記建物。,RPVQMLRJMHPFFBB88CA
北區,房地(土地+建物)+車位,臺中市北區太原路一段481~510號,12.94,住,,,1090226,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850918,141.45,4,2,2,有,有,7590000,53659,升降機械,0.0,0,,RPQQMLRJMHPFFBB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區熱河路二段91~120號,14.02,商,,,1090220,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990629,153.85,3,2,2,有,有,11200000,72798,坡道平面,0.0,0,,RPVNMLSJMHPFFBB68CA
