鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
五股區,房地(土地+建物)+車位,新北市五股區登林路91~120號,21.09,住,,,1090305,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080215,142.16,3,2,2,有,無,15290000,122214,坡道平面,31.78,1800000,,RPVOMLSJMHPFFBF56CA
五股區,房地(土地+建物),新北市五股區登林路91~120號,16.11,住,,,1090226,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080215,90.02,2,1,1,有,無,10920000,121306,,0.0,0,,RPWOMLSJMHPFFBF66CA
五股區,房地(土地+建物),新北市五股區登林路91~120號,16.11,住,,,1090226,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080215,90.06,2,1,1,有,無,11030000,122474,,0.0,0,,SPWOMLSJMHPFFBF76CA
新莊區,房地(土地+建物),新北市新莊區中正路新建巷31~60號,17.08,住,,,1090208,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691224,71.62,3,1,1,有,無,5400000,75398,,0.0,0,含增建或未登記建物。;,RPSQMLQKMHPFFBF98CA
新莊區,房地(土地+建物)+車位,新北市新莊區福美街172巷61~90號,21.97,住,,,1081210,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080426,150.51999999999998,3,2,2,有,有,16380000,124789,坡道平面,38.09,2350000,,RPWPMLQKMHPFFBF66CA
五股區,房地(土地+建物)+車位,新北市五股區登林路91~120號,21.08,住,,,1090208,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080215,142.66000000000003,2,2,1,有,有,14890000,118957,坡道平面,31.78,1700000,,RPPNMLPKMHPFFBF28CA
五股區,房地(土地+建物)+車位,新北市五股區登林路91~120號,21.09,住,,,1090208,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080215,142.51999999999998,2,2,1,有,有,14940000,119559,坡道平面,31.78,1700000,,RPQNMLPKMHPFFBF38CA
新莊區,房地(土地+建物)+車位,新北市新莊區龍安路1~30號,13.66,住,,,1090101,土地1建物1車位1,十一層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080723,161.4,3,2,2,有,有,17000000,114138,坡道平面,27.79,1750000,,RPVRMLPKMHPFFBF66CA
林口區,房地(土地+建物)+車位,新北市林口區四維路1~30號,11.78,商,,,1090310,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080909,119.6,2,2,1,有,有,11500000,94256,坡道平面,17.75,1900000,,RPTOMLRKMHPFFBF98CA
新莊區,房地(土地+建物),新北市新莊區裕民街31~60號,20.62,住,,,1090310,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660719,65.39,3,2,1,有,無,5200000,79523,,0.0,0,,RPUNMLNLMHPFFBF68CA
