鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,21.9,住,,,1090103,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,188.35000000000002,3,2,2,有,有,29600000,181116,坡道平面,38.17,2400000,,RPWOMLRLLHPFFEA09CA
北投區,房地(土地+建物)+車位,臺北市北投區磺港路121~150號,30.51,住,,,1090127,土地1建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080725,247.38,4,2,2,有,有,44000000,198365,坡道平面,38.17,2500000,,RPXOMLRLLHPFFEA56CA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路157巷36弄91~120號,57.11,住,,,1090224,土地1建物1車位2,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030306,399.59000000000003,3,2,2,有,有,73500000,183939,坡道平面,90.34,0,,RPSNMLPKMHPFFDA28CA
松山區,房地(土地+建物),臺北市松山區北寧路31~60號,9.04,住,,,1090312,土地3建物1車位0,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0770701,82.1,2,1,1,有,有,21000000,255786,,0.0,0,,RPPOMLPLLHPFFDA08CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段180巷42弄1~30號,6.65,商,,,1090225,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,77.62,1,1,41,有,有,15900000,204844,,0.0,0,,RPQQMLOKMHPFFCA18CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,10.1,商,,,1090228,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,140.3,1,1,1,有,有,23300000,207536,坡道平面,41.04,2700000,,RPTQMLOKMHPFFCA48CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,8.95,商,,,1090304,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,131.12,1,1,1,有,有,21180000,208481,坡道平面,41.04,2400000,,RPUPMLOKMHPFFCA48CA
內湖區,房地(土地+建物),臺北市內湖區星雲街150巷31~60號,12.89,住,,,1090219,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880121,55.150000000000006,3,2,2,有,有,14220000,257796,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUPMLRJMHPFFCA68CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路428巷1~30號,13.45,住,,,1090102,土地1建物1車位1,十九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080506,113.71000000000001,2,1,1,有,有,3770857,33162,坡道平面,30.74,0,親友、員工或其他特殊關係間之交易。;,RPWOMLRLLHPFFCA88CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段103巷119弄31~60號,35.5,住,,,1090216,土地2建物1車位1,十三層，十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720331,221.6,3,3,3,有,有,26000000,117329,坡道平面,0.0,0,,RPWOMLKMLHPFFCA28CA
