鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
前鎮區,房地(土地+建物),高雄市前鎮區和平二路31~60號,17.0,住,,,1090304,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830204,102.08,3,2,2,有,有,4200000,41144,,0.0,0,,RPQNMLQLLHPFFCE48CA
前鎮區,土地,盛興段781~810地號,27.0,住,,,1090310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1674000,62000,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPSNMLQLLHPFFCE68CA
小港區,房地(土地+建物),高雄市小港區孔宅街301~330號,98.0,住,,,1090312,土地1建物1車位0,全,四層,透天厝,見其它登記事項,見其它登記事項,1071219,225.39,4,2,3,有,無,14500000,64333,,0.0,0,,RPTNMLQLLHPFFCE78CA
小港區,房地(土地+建物)+車位,高雄市小港區山明路181~210號,20.9,住,,,1090223,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1041106,142.22,3,2,2,有,有,7380000,51891,坡道平面,13.67,0,附冰箱,RPWNMLQLLHPFFCE09CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區中山二路1~30號,14.96,商,,,1090312,土地1建物1車位1,十一層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1050811,303.15999999999997,3,2,2,有,有,28000000,92360,坡道平面,22.05,0,,RPXNMLQLLHPFFCE56CA
前鎮區,房地(土地+建物),高雄市前鎮區三多三路121~150號,2.62,商,,,1090309,土地1建物1車位0,十六層,十九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840327,52.6,1,1,1,有,有,1800000,34221,,0.0,0,,RPVOMLPLLHPFFCE98CA
前鎮區,房地(土地+建物),高雄市前鎮區瑞忠街31~60號,25.48,住,,,1090303,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0691106,76.4,3,2,2,有,無,3200000,41885,,0.0,0,,RPWOMLPLLHPFFCE09CA
前鎮區,房地(土地+建物),高雄市前鎮區英明一路72巷31~60號,52.0,住,,,1090120,土地1建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0740125,183.71,4,2,5,有,無,8500000,46269,,0.0,0,含增建或未登記建物。;賣方已相當減價出售予買方，對於標的物已知悉及未知悉之瑕疵，買方同意免除賣方物之瑕疵擔保責任。,RPUNMLQJMHPFFCE78CA
前鎮區,房地(土地+建物),高雄市前鎮區文橫三路151~180號,16.34,商,,,1090310,土地1建物1車位0,一層，二層，騎樓,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0701221,162.51,0,0,0,無,有,18000000,110762,,0.0,0,含增建或未登記建物。;賣方已相當減價出售予買方，自交屋日起，買方同意免除賣方物之瑕疵擔保責任。若因物之瑕疵以致須修繕相當費用由買方自行負責。,RPWNMLQJMHPFFCE98CA
前鎮區,房地(土地+建物),高雄市前鎮區修文街242巷1~30號,31.8,住,,,1090225,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0671101,88.04,3,2,2,有,無,4900000,55657,,0.0,0,,RPUNMLLJMHPFFCE28CA
前鎮區,房地(土地+建物),高雄市前鎮區鎮中路282巷31~60號,52.0,商,,,1090227,土地1建物1車位0,全,一層,透天厝,住家用,見其它登記事項,0570701,26.4,2,2,1,有,無,3330000,126136,,0.0,0,含增建或未登記建物。;,RPROMLLMLHPFFCE28CA
小港區,房地(土地+建物),高雄市小港區宏平路1~30號,84.38,住,,,1090307,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0860204,239.07,7,1,4,有,無,12000000,50195,,0.0,0,,RPSNMLRLLHPFFCE78CA
小港區,房地(土地+建物),高雄市小港區廈莊五街1~30號,65.0,住,,,1090213,土地1建物1車位0,全,二層,透天厝,,鋼筋混凝土造,0760401,101.21,4,2,2,有,無,5880000,58097,,0.0,0,頂樓加蓋鐵皮,RPQNMLSLLHPFFCE68CA
小港區,房地(土地+建物),高雄市小港區松崗路1~30號,70.0,商,,,1090226,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0671226,144.0,5,3,4,有,無,7000000,48611,,0.0,0,,RPQOMLKMLHPFFCE08CA
小港區,房地(土地+建物),高雄市小港區山明路151~180號,13.39,住,,,1090306,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1041106,90.13,2,2,1,有,有,5000000,55475,,0.0,0,,RPVOMLRJMHPFFCE09CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區和平二路211~240號,17.86,住,,,1090222,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081018,147.05,3,2,3,有,有,9900000,67324,坡道平面,26.41,0,,RPXNMLRJMHPFFCE56CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區和平二路211~240號,23.91,住,,,1090218,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081018,174.81,4,2,2,有,有,11880000,67959,坡道機械,14.08,0,,RPQNMLQKMHPFFCE48CA
三民區,房地(土地+建物),高雄市三民區鼎正街1~30號,23.8,住,,,1090213,土地1建物1車位0,一層，二層，三層，騎樓,十三層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0830208,148.66,3,1,2,有,有,7700000,51796,,0.0,0,,RPWNMLPLLHPFFDE09CA
三民區,土地,水源段151~180地號,74.27,其他,,,1090302,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1218024,16400,,0.0,0,包含公共設施保留地之交易。;,RPUNMLQLLHPFFDE98CA
三民區,土地,鼎新段661~690地號,206.24,其他,,,1090302,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2781976,13489,,0.0,0,包含公共設施保留地之交易。;,RPVNMLQLLHPFFDE09CA
三民區,房地(土地+建物),高雄市三民區建元路1~30號,8.28,商,,,1090210,土地1建物1車位0,二十五層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890412,119.16,3,2,2,有,有,5010000,42044,,0.0,0,,RPROMLRLLHPFFDE88CA
三民區,房地(土地+建物),高雄市三民區重慶街301~330號,14.85,住,,,1090219,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681126,50.51,2,1,1,有,無,1500000,29697,,0.0,0,,RPOOMLQJMHPFFDE38CA
三民區,房地(土地+建物),高雄市三民區順昌街61~90號,9.92,商,,,1081225,土地1建物1車位0,一層，二層，騎樓,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0701222,84.32,3,2,2,有,無,3640000,43169,,0.0,0,,RPWOMLSJMHPFFDE76CA
三民區,房地(土地+建物),高雄市三民區松江街33巷1~30號,8.36,商,,,1090306,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0730420,93.25,3,1,1,有,有,4000000,42895,,0.0,0,,RPXNMLTJMHPFFDE86CA
三民區,土地,灣復段961~990地號,9.8,商,,,1090214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,40816,,0.0,0,畸零地或有合併使用之交易。;地上物處理有糾紛之交易,RPXNMLRJMHPFFDE66CA
三民區,房地(土地+建物),高雄市三民區教仁路61~90號,9.58,商,,,1090228,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0701221,96.31,3,2,2,有,無,3800000,39456,,0.0,0,附贈冷氣兩台、美術燈、沙發、窗簾,RPOPMLNKMHPFFDE28CA
三民區,房地(土地+建物)+車位,高雄市三民區興德里建國三路241~270號,8.45,商,,,1090210,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1081106,117.23,3,1,1,有,有,8500000,73521,坡道平面,27.46,1900000,,RPPNMLPKMHPFFDE38CA
三民區,房地(土地+建物),高雄市三民區興德里建國三路241~270號,4.47,商,,,1090307,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1081106,62.14,2,1,1,有,有,4920000,79176,,0.0,0,,RPQNMLPKMHPFFDE48CA
三民區,房地(土地+建物),高雄市三民區興德里建國三路241~270號,5.67,商,,,1090305,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1081106,79.38,2,1,1,有,有,5400000,68027,,0.0,0,,RPRNMLPKMHPFFDE58CA
三民區,房地(土地+建物),高雄市三民區興德里建國三路241~270號,5.67,商,,,1090221,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1081106,79.38,2,1,1,有,有,5600000,70547,,0.0,0,,RPSNMLPKMHPFFDE68CA
三民區,房地(土地+建物),高雄市三民區興德里建國三路241~270號,5.67,商,,,1090302,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1081106,79.38,2,1,1,有,有,5700000,71807,,0.0,0,,RPROMLPKMHPFFDE68CA
三民區,房地(土地+建物),高雄市三民區興德里建國三路241~270號,5.67,商,,,1090223,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1081106,79.03,2,1,1,有,有,5530000,69973,,0.0,0,,RPSOMLPKMHPFFDE78CA
三民區,房地(土地+建物),高雄市三民區興德里建國三路241~270號,5.67,商,,,1090301,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1081106,79.03,2,1,1,有,有,5800000,73390,,0.0,0,,RPTOMLPKMHPFFDE88CA
三民區,房地(土地+建物),高雄市三民區興德里建國三路241~270號,6.52,商,,,1090303,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1081106,89.77000000000001,3,1,1,有,有,6520000,72630,,0.0,0,,RPVOMLPKMHPFFDE09CA
三民區,房地(土地+建物),高雄市三民區臥龍路54巷31~60號,39.3,住,,,1090221,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0720816,131.38,4,2,4,有,無,4400000,33491,,0.0,0,,RPWOMLKLMHPFFDE78CA
三民區,房地(土地+建物)+車位,高雄市三民區興隆街91~120號,13.56,商,,,1090308,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930102,115.67000000000002,3,2,2,有,有,5500000,47549,坡道平面,16.46,0,親友、員工或其他特殊關係間之交易。;,RPQNMLLLMHPFFDE18CA
楠梓區,房地(土地+建物),高雄市楠梓區後昌新路70巷3弄1~30號,58.0,住,,,1090305,土地1建物1車位0,全,二層,透天厝,,加強磚造,0660913,69.36,3,1,2,有,無,6250000,90110,,0.0,0,本案土地增值稅193995元、由買方負擔繳納,RPTNMLQLLHPFFEE98CA
楠梓區,房地(土地+建物),高雄市楠梓區安泰街182巷1~30號,5.03,住,,,1090302,土地1建物1車位0,七層,十層,套房(1房1廳1衛),見使用執照,見使用執照,0930413,24.33,1,1,1,有,有,790000,32470,,0.0,0,,RPSOMLQLLHPFFEE98CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區金富街91~120號,22.43,住,,,1080615,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090108,146.39,3,2,2,有,有,6880000,48078,坡道平面,22.01,900000,,RPSQMLRLLHPFFEE66CA
楠梓區,房地(土地+建物),高雄市楠梓區金富街91~120號,11.11,住,,,1070804,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090108,72.69,2,1,1,有,有,3200000,44023,,0.0,0,,RPTQMLRLLHPFFEE76CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區金富街91~120號,22.46,住,,,1090310,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090108,146.48,3,2,2,有,有,6250000,42982,坡道平面,22.01,900000,,RPUQMLRLLHPFFEE86CA
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學十街451~480號,34.27,住,,,1090228,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050112,190.52,3,2,2,有,有,8800000,46189,坡道平面,33.07,0,,RPOQMLRLLHPFFEE88CA
左營區,房地(土地+建物),高雄市左營區文恩路181~210號,98.01,住,,,1090212,土地1建物1車位0,一層，二層，三層，四層，五層，騎樓,五層,店面(店鋪),見其它登記事項,鋼筋混凝土造,0951114,376.38,4,3,5,有,無,27700000,73596,,0.0,0,,RPQPMLKMLHPFFEE38CA
